Unnamed: 0,Title,Verification_Status
3413.0, กรมพัฒนาธุรกิจการค้าอนุญาตใบทะเบียนพาณิชย์รายบุคคล ประกอบธุรกิจเงินกู้นอกระบบแบบออนไลน์,ข่าวปลอม
7926.0," กรมการจัดหางานส่งเสริมให้ชาวไทยมีรายได้ เฉลี่ย 1,500 – 3,900 บาทต่อวัน",ข่าวปลอม
3285.0," ตลาดหลักทรัพย์แห่งประเทศไทยเปิดลงทุนเพื่อหาค่าข้าว วันละ 1,000 บาท ด้วยบิทคอยน์",ข่าวปลอม
1972.0, ตลาดหลักทรัพย์ฯ เปิดพอร์ตหุ้นธนาคารกำไรสูง 48-50%,ข่าวปลอม
7318.0, ผู้บริหารธ. ออมสินไลน์เชิญชวนกู้เงินหลักหมื่นถึงหลักแสน ปลอดภัย 100%,ข่าวปลอม
3733.0,  เพิ่มเบี้ยผู้สูงอายุ คนละ 100 บาท ให้ทุกคนไปรายงานตัวที่เขต,ข่าวปลอม
2912.0, เล่นมือถือในที่มืดนาน ทำให้เป็นมะเร็งตาหรือตาบอดถาวร,ข่าวปลอม
1249.0, กรุงไทยเปิดเว็บไซต์ https://88886666z.top/ ปล่อยสินเชื่อกรุงไทยใจป้ำ,ข่าวปลอม
7301.0," รัฐบาลแจกเงินคนละ 1,000 – 5,000 บาท สามารถกดเป็นเงินสดใช้ได้",ข่าวปลอม
6731.0, กลุ่มเฟซบุ๊กชื่อ ‘ไทยรู้สู้โควิด’ เป็นกลุ่มของหน่วยงานราชการ,ข่าวปลอม
3245.0, ผลกระเบาช่วยรักษาโรคมะเร็ง,ข่าวปลอม
2158.0," ชาวอ. กงไกรลาศ จ. สุโขทัย ที่มีหนี้ของธ.ก.ส. , ธ. ออมสิน และธ. กรุงไทย จะถูกเคลียร์ให้เป็นศูนย์",ข่าวปลอม
6272.0, ผลิตภัณฑ์สมุนไพรเคอร่า (Kerra) รักษาโรคโควิด-19,ข่าวปลอม
845.0, การบินไทยรับสมัครงาน ผ่านเพจฝ่ายสื่อสารองค์กรการบินไทย,ข่าวปลอม
6178.0, ตำรวจหญิง 1 ราย เสียชีวิตหลังจากฉีดวัคซีนป้องกันโควิด-19,ข่าวปลอม
818.0, เพจเฟซบุ๊กองค์การพัฒเทคโนโลยีแห่งชาติ สวทช.,ข่าวปลอม
3850.0, ลงทะเบียนเว็บไซต์ Thailand Pass มีค่าธรรมเนียม สำหรับการเดินทางเข้าประเทศ,ข่าวปลอม
2255.0, ทำธุระกรมที่ดิน มี SMS แจ้งชื่อ ได้จองคิวที่กรมที่ดิน และให้กดยืนยันคิว ทำให้เงินสูญหาย,ข่าวปลอม
3141.0, อาการขี้หนาวเป็นสัญญาณบ่งบอกโรคไตขวาเสื่อม,ข่าวปลอม
7757.0, พายุฤดูร้อนเข้าไทย 38 จังหวัด ฝนตกหนัก ลมกระโชกแรง เฝ้าระวังด่วน,ข่าวปลอม
823.0, สตช. เปิดเพจคณะทำงานสร้างภูมิคุ้มกันอาชญากรรมทางไซเบอร์ ภาค1,ข่าวปลอม
8817.0, ทำใบขับขี่ไม่ต้องสอบที่ขนส่ง แบบถูกกฎหมาย 100% ผ่านไลน์,ข่าวปลอม
5595.0, บริโภคผักไฮโดรโปนิกส์ เสี่ยงเป็นมะเร็ง,ข่าวปลอม
4394.0, กรุงไทยเปิดลงทะเบียนสินเชื่อ Smile Money ผ่านแอปพลิเคชัน,ข่าวปลอม
8381.0, เจ้าหน้าที่ฝ่ายบริการออนไลน์จาก รพ.บำรุงราษฎร์ ชวนลงทุนผ่านไลน์ โดยมีการรับรองจาก ก.ล.ต.,ข่าวปลอม
4111.0, น้ำเกลือ Normal Saline ใช้แช่คอนแทคเลนส์ได้,ข่าวปลอม
4548.0, โรงพยาบาลราชวิถี เปิดให้ลงทะเบียนฉีดวัคซีนแอสตร้า ไม่จำกัดอายุ,ข่าวปลอม
2820.0, รับสมัครแรงงานทำโรงงานเครื่องสำอางผ่านกรมการจัดหางาน,ข่าวปลอม
7185.0, ผักปลาบและหญ้าปักกิ่งใช้รักษาโรคมะเร็ง,ข่าวปลอม
8142.0, ธอส. ออกสินเชื่อใหม่ รับสูงสุด 5 ล้านบาทผ่านไลน์,ข่าวปลอม
6294.0, จ.ภูเก็ตพบผู้เสียชีวิตตามที่สาธารณะเป็นจำนวนมาก,ข่าวปลอม
4778.0, ผลิตภัณฑ์เสริมอาหาร OKUL สามารถรักษาโรคเกี่ยวกับดวงตา ฟื้นฟูการมองเห็นโดยไม่ต้องผ่าตัด,ข่าวปลอม
275.0, แรงงานชาวเมียนมาร์ เรียกร้องสิทธิเทียบเท่าคนไทย,ข่าวปลอม
